0 1 2 3 4 5 6 
1 1 2 3 4 5 7 
2 1 2 3 4 5 8 
3 1 2 3 4 5 9 
4 1 2 3 4 5 10 
5 1 2 3 4 6 7 
6 1 2 3 4 6 8 
7 1 2 3 4 6 9 
8 1 2 3 4 6 10 
9 1 2 3 4 7 8 
10 1 2 3 4 7 9 
11 1 2 3 4 7 10 
12 1 2 3 4 8 9 
13 1 2 3 4 8 10 
14 1 2 3 4 9 10 
15 1 2 3 5 6 7 
16 1 2 3 5 6 8 
17 1 2 3 5 6 9 
18 1 2 3 5 6 10 
19 1 2 3 5 7 8 
20 1 2 3 5 7 9 
21 1 2 3 5 7 10 
22 1 2 3 5 8 9 
23 1 2 3 5 8 10 
24 1 2 3 5 9 10 
25 1 2 3 6 7 8 
26 1 2 3 6 7 9 
27 1 2 3 6 7 10 
28 1 2 3 6 8 9 
29 1 2 3 6 8 10 
30 1 2 3 6 9 10 
31 1 2 3 7 8 9 
32 1 2 3 7 8 10 
33 1 2 3 7 9 10 
34 1 2 3 8 9 10 
35 1 2 4 5 6 7 
36 1 2 4 5 6 8 
37 1 2 4 5 6 9 
38 1 2 4 5 6 10 
39 1 2 4 5 7 8 
40 1 2 4 5 7 9 
41 1 2 4 5 7 10 
42 1 2 4 5 8 9 
43 1 2 4 5 8 10 
44 1 2 4 5 9 10 
45 1 2 4 6 7 8 
46 1 2 4 6 7 9 
47 1 2 4 6 7 10 
48 1 2 4 6 8 9 
49 1 2 4 6 8 10 
50 1 2 4 6 9 10 
51 1 2 4 7 8 9 
52 1 2 4 7 8 10 
53 1 2 4 7 9 10 
54 1 2 4 8 9 10 
55 1 2 5 6 7 8 
56 1 2 5 6 7 9 
57 1 2 5 6 7 10 
58 1 2 5 6 8 9 
59 1 2 5 6 8 10 
60 1 2 5 6 9 10 
61 1 2 5 7 8 9 
62 1 2 5 7 8 10 
63 1 2 5 7 9 10 
64 1 2 5 8 9 10 
65 1 2 6 7 8 9 
66 1 2 6 7 8 10 
67 1 2 6 7 9 10 
68 1 2 6 8 9 10 
69 1 2 7 8 9 10 
70 1 3 4 5 6 7 
71 1 3 4 5 6 8 
72 1 3 4 5 6 9 
73 1 3 4 5 6 10 
74 1 3 4 5 7 8 
75 1 3 4 5 7 9 
76 1 3 4 5 7 10 
77 1 3 4 5 8 9 
78 1 3 4 5 8 10 
79 1 3 4 5 9 10 
80 1 3 4 6 7 8 
81 1 3 4 6 7 9 
82 1 3 4 6 7 10 
83 1 3 4 6 8 9 
84 1 3 4 6 8 10 
85 1 3 4 6 9 10 
86 1 3 4 7 8 9 
87 1 3 4 7 8 10 
88 1 3 4 7 9 10 
89 1 3 4 8 9 10 
90 1 3 5 6 7 8 
91 1 3 5 6 7 9 
92 1 3 5 6 7 10 
93 1 3 5 6 8 9 
94 1 3 5 6 8 10 
95 1 3 5 6 9 10 
96 1 3 5 7 8 9 
97 1 3 5 7 8 10 
98 1 3 5 7 9 10 
99 1 3 5 8 9 10 
100 1 3 6 7 8 9 
101 1 3 6 7 8 10 
102 1 3 6 7 9 10 
103 1 3 6 8 9 10 
104 1 3 7 8 9 10 
105 1 4 5 6 7 8 
106 1 4 5 6 7 9 
107 1 4 5 6 7 10 
108 1 4 5 6 8 9 
109 1 4 5 6 8 10 
110 1 4 5 6 9 10 
111 1 4 5 7 8 9 
112 1 4 5 7 8 10 
113 1 4 5 7 9 10 
114 1 4 5 8 9 10 
115 1 4 6 7 8 9 
116 1 4 6 7 8 10 
117 1 4 6 7 9 10 
118 1 4 6 8 9 10 
119 1 4 7 8 9 10 
120 1 5 6 7 8 9 
121 1 5 6 7 8 10 
122 1 5 6 7 9 10 
123 1 5 6 8 9 10 
124 1 5 7 8 9 10 
125 1 6 7 8 9 10 
126 2 3 4 5 6 7 
127 2 3 4 5 6 8 
128 2 3 4 5 6 9 
129 2 3 4 5 6 10 
130 2 3 4 5 7 8 
131 2 3 4 5 7 9 
132 2 3 4 5 7 10 
133 2 3 4 5 8 9 
134 2 3 4 5 8 10 
135 2 3 4 5 9 10 
136 2 3 4 6 7 8 
137 2 3 4 6 7 9 
138 2 3 4 6 7 10 
139 2 3 4 6 8 9 
140 2 3 4 6 8 10 
141 2 3 4 6 9 10 
142 2 3 4 7 8 9 
143 2 3 4 7 8 10 
144 2 3 4 7 9 10 
145 2 3 4 8 9 10 
146 2 3 5 6 7 8 
147 2 3 5 6 7 9 
148 2 3 5 6 7 10 
149 2 3 5 6 8 9 
150 2 3 5 6 8 10 
151 2 3 5 6 9 10 
152 2 3 5 7 8 9 
153 2 3 5 7 8 10 
154 2 3 5 7 9 10 
155 2 3 5 8 9 10 
156 2 3 6 7 8 9 
157 2 3 6 7 8 10 
158 2 3 6 7 9 10 
159 2 3 6 8 9 10 
160 2 3 7 8 9 10 
161 2 4 5 6 7 8 
162 2 4 5 6 7 9 
163 2 4 5 6 7 10 
164 2 4 5 6 8 9 
165 2 4 5 6 8 10 
166 2 4 5 6 9 10 
167 2 4 5 7 8 9 
168 2 4 5 7 8 10 
169 2 4 5 7 9 10 
170 2 4 5 8 9 10 
171 2 4 6 7 8 9 
172 2 4 6 7 8 10 
173 2 4 6 7 9 10 
174 2 4 6 8 9 10 
175 2 4 7 8 9 10 
176 2 5 6 7 8 9 
177 2 5 6 7 8 10 
178 2 5 6 7 9 10 
179 2 5 6 8 9 10 
180 2 5 7 8 9 10 
181 2 6 7 8 9 10 
182 3 4 5 6 7 8 
183 3 4 5 6 7 9 
184 3 4 5 6 7 10 
185 3 4 5 6 8 9 
186 3 4 5 6 8 10 
187 3 4 5 6 9 10 
188 3 4 5 7 8 9 
189 3 4 5 7 8 10 
190 3 4 5 7 9 10 
191 3 4 5 8 9 10 
192 3 4 6 7 8 9 
193 3 4 6 7 8 10 
194 3 4 6 7 9 10 
195 3 4 6 8 9 10 
196 3 4 7 8 9 10 
197 3 5 6 7 8 9 
198 3 5 6 7 8 10 
199 3 5 6 7 9 10 
200 3 5 6 8 9 10 
201 3 5 7 8 9 10 
202 3 6 7 8 9 10 
203 4 5 6 7 8 9 
204 4 5 6 7 8 10 
205 4 5 6 7 9 10 
206 4 5 6 8 9 10 
207 4 5 7 8 9 10 
208 4 6 7 8 9 10 
209 5 6 7 8 9 10 
